arcd,acmdfclty_sn,ctprvn_nm,sgg_nm,vt_acmdfclty_nm,rdnmadr_cd,bdong_cd,hdong_cd,dtl_adres,fclty_ar,xcord,ycord
4146000000,83,경기도,용인시,솔개초등학교 운동장,4.14651E+24,4146510700,4146557000,경기도 용인시 수지구 상현동 841,3500,127.0819043,37.30559522
4146000000,86,경기도,용인시,소현초등학교 운동장,4.14651E+24,4146510700,4146558000,경기도 용인시 수지구 상현동 854,4181,127.0923264,37.30183324
4146000000,84,경기도,용인시,서원초등학교 운동장,4.14651E+24,4146510700,4146557000,경기도 용인시 수지구 상현동 826,2400,127.0785562,37.3035107
4146000000,85,경기도,용인시,상현초등학교 운동장,4.14651E+24,4146510700,4146558000,경기도 용인시 수지구 상현동 53-6,2691,127.089606,37.30869873
4146000000,117,경기도,용인시,심곡어린이공원,,4146510700,4146557000,경기도 용인시 수지구 상현동 1212,5700,127.0721489,37.30484358
4146000000,116,경기도,용인시,냇가소공원,,4146510700,4146557000,경기도 용인시 수지구 상현동 23-1,580,127.0898706,37.31419729
4146000000,113,경기도,용인시,상보골어린이공원,,4146510500,4146553000,경기도 용인시 수지구 신봉동 977,530,127.0636146,37.32906726
4146000000,140,경기도,용인시,무지개어린이공원,,4146125931,4146125900,경기도 용인시 처인구 남사읍 완장리 949-2,4595,127.1726,37.1572
4146000000,143,경기도,용인시,한숲하늘근린공원,4.14613E+24,4146125930,4146125900,경기도 용인시 처인구 남사읍 아곡리 685-0,20637,127.1676,37.1554
4146000000,142,경기도,용인시,꽃내음어린이공원,,4146125931,4146125900,경기도 용인시 처인구 남사읍 완장리 945-2,3076,127.1754,37.1601
4146000000,119,경기도,용인시,국은소공원,,4146125626,4146125600,경기도 용인시 처인구 이동읍 덕성리 1283-2,8015,127.2107,37.1686
4146000000,12,경기도,용인시,용천초등학교 운동장,4.14613E+24,4146125628,4146125600,경기도 용인시 처인구 이동읍 천리 242-2,9861,127.2079755,37.19170946
4146000000,11,경기도,용인시,송전초등학교 운동장,4.14613E+24,4146125621,4146125600,경기도 용인시 처인구 이동읍 송전리 705-2,10111,127.1984521,37.1406626
4146000000,118,경기도,용인시,송전어린이공원,,4146125621,4146125600,경기도 용인시 처인구 이동읍 송전리 1228-0,5208,127.2002895,37.13870171
4146000000,6,경기도,용인시,능원초등학교 운동장,4.14613E+24,4146125327,4146125300,경기도 용인시 처인구 모현읍 능원리 57,16223,127.1738487,37.34343168
4146000000,7,경기도,용인시,모현초등학교 운동장,4.14613E+24,4146125325,4146125300,경기도 용인시 처인구 모현읍 매산리 224-1,4168,127.2286655,37.34338809
4146000000,8,경기도,용인시,왕산초등학교 운동장,4.14613E+24,4146125321,4146125300,경기도 용인시 처인구 모현읍 왕산리 808-2,3685,127.2505363,37.33521697
